,title,num_ratings,num_oscars,rating,adjusted_rating
0,A hét szamuráj,8.6,345708,0.0,0.0
1,Hetedik,8.6,1642007,0.0,0.0
2,Száll a kakukk fészkére,8.6,1004615,5.0,5.0
3,Nagymenők,8.7,1154513,1.0,1.0
4,Mátrix,8.7,1903395,4.0,4.0
5,A Birodalom visszavág,8.7,1286458,1.0,1.0
6,Eredet,8.7,2336635,4.0,4.0
7,A Gyűrűk Ura: A két torony,8.7,1658400,2.0,2.0
8,Harcosok klubja,8.7,2109323,0.0,0.0
9,Forrest Gump,8.8,2064689,6.0,6.0
10," A Jó, a Rossz és a Csúf",8.8,759244,0.0,0.0
11,A Gyűrűk Ura: A gyűrű szövetsége,8.8,1865682,4.0,4.0
12,Ponyvaregény,8.8,2039010,1.0,1.0
13,A Gyűrűk Ura: A király visszatér,8.9,1836611,11.0,11.0
14,Schindler listája,8.9,1348957,7.0,7.0
15,Tizenkét dühös ember,9.0,786689,0.0,0.0
16,A keresztapa II,9.0,1264457,6.0,6.0
17,A sötét lovag,9.0,2636883,2.0,2.0
18,A keresztapa,9.2,1846053,3.0,3.0
19,A remény rabjai,9.2,2663912,0.0,0.0
